id,url,score,name,rank,n_reviews,city,Utmärkt,Hemskt,tags,Mycket bra,Medelmåttigt,county,Dåligt
42,https://www.tripadvisor.se/Attraction_Review-g3734474-d8491470-Reviews-Haverud_Sluss-Haverud_Vastra_Gotaland_County_West_Coast.html,4.0,Håverud Sluss,1,9,Håverud,1,0,Intressanta platser och landmärken|Vattendrag|Natur och parker|Sevärdheter och landmärken,2,3,Västra Götalands län›,0
43,https://www.tripadvisor.se/Attraction_Review-g1188836-d4200397-Reviews-Gotlands_Surfcenter-Tofta_Gotland.html,4.0,Gotlands Surfcenter,1,1,Tofta,0,0,"Surfing, vindsurfing och draksurfing|Friluftsaktiviteter|Vattensport och rundturer med båt|Rundturer",1,0,,0
44,https://www.tripadvisor.se/Attraction_Review-g1498080-d3613306-Reviews-M_S_Af_Grebbestad-Grebbestad_Vastra_Gotaland_County_West_Coast.html,5.0,M/S Af Grebbestad,1,1,Grebbestad,1,0,Färjor|Transport,0,0,Västra Götalands län›,0
45,https://www.tripadvisor.se/Attraction_Review-g3225544-d7249857-Reviews-Myskoxcentrum-Tannas_Jamtland_County_Jamtland_and_Harjedalen.html,4.5,Myskoxcentrum,1,6,Tännäs,3,0,Andra rancher och bondgårdar|Sevärdheter och landmärken,1,1,Jämtlands län›,0
46,https://www.tripadvisor.se/Attraction_Review-g1188840-d7092346-Reviews-Mastarnas_Park-Hallefors_Sodermanland_County.html,,Mästarnas Park,1,,Hällefors,,,Parker|Intressanta platser och landmärken|Sevärdheter och landmärken|Natur och parker,,,Södermanlands län›,
47,https://www.tripadvisor.se/Attraction_Review-g7066516-d7367187-Reviews-Muonionalusta_gamla_kyrkplats-Muonionalusta_Norrbotten_County.html,4.5,Muonionalusta gamla kyrkplats,1,3,Muonionalusta,1,0,Intressanta platser och landmärken|Sevärdheter och landmärken,1,0,Norrbottens län›,0
48,https://www.tripadvisor.se/Attraction_Review-g189852-d208277-Reviews-Vasa_Museum-Stockholm.html,4.5,Vasamuseet,1,15230,Stockholm,328,0,Specialmuseer|Museer,184,19,Stockholms län›,10
49,https://www.tripadvisor.se/Attraction_Review-g189852-d207777-Reviews-Stockholm_Old_Town-Stockholm.html,4.5,Gamla Stan,2,8861,Stockholm,352,3,Historiska promenadområden|Öar|Område|Sevärdheter och landmärken|Natur och parker|Mer,203,44,Stockholms län›,4
50,https://www.tripadvisor.se/Attraction_Review-g189852-d208169-Reviews-Djurgarden-Stockholm.html,4.5,Djurgården,3,2039,Stockholm,119,0,Öar|Parker|Natur och parker,65,6,Stockholms län›,0
51,https://www.tripadvisor.se/Attraction_Review-g189852-d208370-Reviews-Stockholm_City_Hall-Stockholm.html,4.5,Stadshuset,4,3029,Stockholm,56,0,Arkitektoniska byggnader|Intressanta platser och landmärken|Utsiktsdäck och utsiktstorn|Regeringsbyggnader|Sevärdheter och landmärken|Mer,30,6,Stockholms län›,1
